Debian_Package,Debian_Source,openhub_name,cve_keyword,bug_tracker,Debian_Description,Debian_Install,direct_network_exposure,process_network_data,potential_privilege_escalation,comment_on_priority,comments
acpi,,acpi,acpi,, displays information on ACPI devices,Standard System Utilities,0,0,1,Provides data on local hardware. Conceivably might allow local raise in privilege.,
acpi-support-base,acpi-support,acpi-support,acpi-support,, scripts for handling base ACPI events such as the power button,Standard System Utilities,0,0,1,,
acpid,,acpid,acpid,, Advanced Configuration and Power Interface event daemon,Standard System Utilities,0,0,1,Provides data on local hardware. Conceivably might allow local raise in privilege.,
adduser,,adduser,adduser,, add and remove users and groups,Standard System Utilities,0,0,0,,
apt,,apt,apt,, commandline package manager,Standard System Utilities,0,1,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
apt-listchanges,,8066,apt-listchanges,, package change history notification tool,Standard System Utilities,0,0,0,,
apt-utils,apt,apt,apt,, package managment related utility programs,Standard System Utilities,0,1,0,"Should primarily be managing data from trusted source; if it ensures data source okay, less risky.",
aptitude,,aptitude,aptitude,, terminal-based package manager,Standard System Utilities,0,0,0,,
aptitude-common,aptitude,aptitude,aptitude,, architecture indepedent files for the aptitude package manager,Standard System Utilities,0,0,0,,
at,,at,at,, Delayed job execution and batch processing,Standard System Utilities,0,0,1,Could potentially enable local privilege escalation.,"Debian is the upstream, maintainer is looking for replacement http://anonscm.debian.org/cgit/collab-maint/at.git"
base-files,,,base-files,, Debian base system miscellaneous files,Standard System Utilities,0,0,0,,
base-passwd,,passwd,passwd,, Debian base system master password and group files,Standard System Utilities,0,0,1,,
bash,,bash,bash,, GNU Bourne Again SHell,Standard System Utilities,0,0,0,,
bash-completion,,bash-completion,bash-completion,, programmable completion for the bash shell,Standard System Utilities,0,0,0,,
bc,bc (1.06.95-2),,gnubc,, The GNU bc arbitrary precision calculator language,Standard System Utilities,0,0,0,Use relatively rare.  Unlikely to process data from attacker.,
bind9-host,bind9,bind,bind9,, Version of 'host' bundled with BIND 9.X,Standard System Utilities,1,0,0,"Bind9 is critical for security. It does have active development. Support is via mailing lists. Very active development, issue tracker intentionally not public...claimed to be ""huge backlog"" of issues. Public git repo. Active history of CVEs raised and fixed. ++",In some cases contacts network and processes data from it
binutils,,binutils,binutils,," GNU assembler, linker and binary utilities",Standard System Utilities,0,0,1,"Vital software for a running system.  Active maintenance.  Includes many subcomponents; some components might need review, but hard to tell because they're managed as a group.",Used to process data from network
bsd-mailx,,nail,bsd-mailx,, simple mail user agent,Standard System Utilities,1,0,0,"This does take data from untrusted sources, but many systems won't actively use it (there are many mail clients).",In some cases contacts network and processes data from it
bsdmainutils,,freebsd,bsdmainutils,, collection of more utilities from FreeBSD,Standard System Utilities,0,0,0,,
bsdutils,util-linux (2.20.1-5.3),Util-linux-ng,bsdutils,, Basic utilities from 4.4BSD-Lite,Standard System Utilities,0,0,0,,
busybox,,busybox,busybox,, Tiny utilities for small and embedded systems,Standard System Utilities,0,0,0,,
bzip2,,bzip2,bzip2,, high-quality block-sorting file compressor - utilities,Standard System Utilities,0,1,0,"Bzip2 is widely used for decompression of network-supplied data. No code repo, only released code source tarballs. This is the reference implementation, many alternate implementations shown on https://en.wikipedia.org/wiki/Bzip2. Last release in 2010, v1.0.6, in response to CVE-2010-0405. No forums found. At least one HTTP server supports bzip2 for compression.  +++","Used to process data from network; web site exists but last release in 2010, no public repo."
ca-certificates,,,,, Common CA certificates,Standard System Utilities,0,1,0,,
console-setup,,console-setup,console-setup,, console font and keymap setup program,Standard System Utilities,0,0,0,,
console-setup-linux,console-setup, console-setup,console-setup,, Linux specific part of console-setup,Standard System Utilities,0,0,0,,
coreutils,,coreutils,coreutils,, GNU core utilities,Standard System Utilities,0,0,1,"Vital software for a running system.  Active maintenance.  Includes many subcomponents; some components might need review, but hard to tell because they're managed as a group.",Used to process data from network
cpio,,cpio,cpio,, GNU cpio -- a program to manage archives of files,Standard System Utilities,0,1,0,"Decompression software. Isolated cpio format uncommon today, but RPMs are based on it.",
cpp,gcc-defaults (1.120),gcc,gcc,, GNU C preprocessor (cpp),Standard System Utilities,0,0,0,,
cpp-4.6,gcc-4.6,gcc,gcc,, GNU C preprocessor,Standard System Utilities,0,0,0,,
cpp-4.7,gcc-4.7,gcc,gcc,, GNU C preprocessor,Standard System Utilities,0,0,0,,
cron,,pkg-cron,cron,, process scheduling daemon,Standard System Utilities,0,0,0,,
dash,,dash,dash,, POSIX-compliant shell,Standard System Utilities,0,0,0,,
db5.1-util,db,berkeleydb,berkeleydb,, Berkeley v5.1 Database Utilities,Standard System Utilities,0,0,0,,
